longitude,latitude,date,aet,def,pet,ppt,q,soil,swe,tmax,tmin,tmean
-97.6875,17.0208333333333,1998-02-01,6.1000000000000005,111.1,117.2,0.5,0,33.2,0,24.10000000000001,3.180000000000007,13.640000000000008
-97.6458333333333,17.0208333333333,1998-02-01,5.1000000000000005,113.4,118.5,0.5,0,29.8,0,25.72,3.799999999999997,14.759999999999998
-97.7291666666667,17.0625,1998-02-01,8.3,106.7,115,0.5,0,38.3,0,22.85000000000001,2.609999999999999,12.730000000000004
-97.6875,17.0625,1998-02-01,5.800000000000001,109,114.8,0.5,0,31.9,0,24.299999999999997,2.8700000000000045,13.585
-97.6458333333333,17.0625,1998-02-01,4.9,110.9,115.8,0.6000000000000001,0,29,0,24.42,3.0799999999999983,13.75
-97.7291666666667,17.1041666666667,1998-02-01,5.800000000000001,111.3,117.1,0.5,0,32.1,0,23.56,3,13.28
-97.6875,17.1041666666667,1998-02-01,6.1000000000000005,109,115.1,0.5,0,32.300000000000004,0,22.980000000000004,2.530000000000001,12.755000000000003
-97.6458333333333,17.1041666666667,1998-02-01,6.2,108.5,114.7,0.6000000000000001,0,32.1,0,22.200000000000003,2.3500000000000085,12.275000000000006
-97.7291666666667,17.0208333333333,1998-03-01,12,130.1,142.1,6.300000000000001,0.30000000000000004,34.6,0,27.31,6.109999999999999,16.71
-97.6875,17.0208333333333,1998-03-01,8.9,129.5,138.4,5.1000000000000005,0.30000000000000004,29,0,24.78,4.6000000000000085,14.690000000000005
-97.6458333333333,17.0208333333333,1998-03-01,8.3,132.6,140.9,5.1000000000000005,0.30000000000000004,26.3,0,26.570000000000007,5.430000000000007,16.000000000000007
-97.7291666666667,17.0625,1998-03-01,10.7,125.9,136.6,5.5,0.30000000000000004,32.9,0,23.700000000000003,3.930000000000007,13.815000000000005
-97.6875,17.0625,1998-03-01,9.3,127.3,136.6,5.6000000000000005,0.30000000000000004,28,0,25.090000000000003,4.359999999999999,14.725000000000001
-97.6458333333333,17.0625,1998-03-01,8.3,129.5,137.8,5.300000000000001,0.30000000000000004,25.6,0,25.24000000000001,4.549999999999997,14.895000000000003
-97.7291666666667,17.1041666666667,1998-03-01,8.4,131.5,139.9,4.7,0.2,28.1,0,24.549999999999997,4.409999999999997,14.479999999999997
-97.6875,17.1041666666667,1998-03-01,9.1,127.9,137,5.300000000000001,0.30000000000000004,28.200000000000003,0,23.870000000000005,3.879999999999995,13.875
-97.6458333333333,17.1041666666667,1998-03-01,9.7,126.5,136.20000000000002,5.9,0.30000000000000004,28,0,23.03,3.5799999999999983,13.305
-97.7291666666667,17.0208333333333,1998-04-01,21.200000000000003,117.2,138.4,17.7,0.9,30.200000000000003,0,28.44,8.530000000000001,18.485
-97.6875,17.0208333333333,1998-04-01,18.7,116.1,134.8,16.3,0.8,25.8,0,25.950000000000003,6.799999999999997,16.375
-97.6458333333333,17.0208333333333,1998-04-01,17.5,119.7,137.20000000000002,15.5,0.8,23.6,0,27.65000000000001,7.8799999999999955,17.765
-97.7291666666667,17.0625,1998-04-01,21.1,112.5,133.6,17.900000000000002,0.9,28.8,0,24.88000000000001,6.079999999999998,15.480000000000004
-97.6875,17.0625,1998-04-01,18.9,114.6,133.5,16.7,0.8,24.9,0,26.320000000000007,6.700000000000003,16.510000000000005
-97.6458333333333,17.0625,1998-04-01,17.8,116.6,134.4,15.9,0.8,23,0,26.42,6.8799999999999955,16.65
-97.7291666666667,17.1041666666667,1998-04-01,19.4,118,137.4,17.1,0.9,25,0,25.760000000000005,6.590000000000003,16.175000000000004
-97.6875,17.1041666666667,1998-04-01,19.8,114.2,134,17.5,0.9,25,0,25.040000000000006,6.060000000000002,15.550000000000004
-97.6458333333333,17.1041666666667,1998-04-01,20.200000000000003,112.6,132.8,17.900000000000002,0.9,24.8,0,24.159999999999997,5.650000000000006,14.905000000000001
-97.7291666666667,17.0208333333333,1998-05-01,15.8,138.9,154.70000000000002,13.1,0.7000000000000001,26.8,0,27.450000000000003,8.700000000000003,18.075000000000003
-97.6875,17.0208333333333,1998-05-01,13.7,136.5,150.20000000000002,11.7,0.6000000000000001,23.3,0,25.08,7.049999999999997,16.064999999999998
-97.6458333333333,17.0208333333333,1998-05-01,12.6,142,154.60000000000002,10.9,0.5,21.4,0,26.909999999999997,8.189999999999998,17.549999999999997
-97.7291666666667,17.0625,1998-05-01,15.2,132.8,148,12.7,0.6000000000000001,25.700000000000003,0,24,6.3500000000000085,15.175000000000004
-97.6875,17.0625,1998-05-01,13.4,136.5,149.9,11.6,0.6000000000000001,22.5,0,25.5,7.070000000000007,16.285000000000004
-97.6458333333333,17.0625,1998-05-01,12.8,138,150.8,11.3,0.6000000000000001,20.9,0,25.65000000000001,7.230000000000004,16.440000000000005
-97.7291666666667,17.1041666666667,1998-05-01,14.5,138.1,152.6,12.7,0.6000000000000001,22.6,0,24.840000000000003,7,15.920000000000002
-97.6875,17.1041666666667,1998-05-01,14.2,134.8,149,12.3,0.6000000000000001,22.5,0,24.210000000000008,6.3799999999999955,15.295000000000002
-97.6458333333333,17.1041666666667,1998-05-01,14.3,132.6,146.9,12.4,0.6000000000000001,22.3,0,23.299999999999997,5.890000000000001,14.594999999999999
-97.7291666666667,17.0208333333333,1998-06-01,126,0,126,275.6,13.8,162.70000000000002,0,28.010000000000005,10.299999999999995,19.155
-97.6875,17.0208333333333,1998-06-01,122.4,0,122.4,262.8,13.1,150.5,0,25.519999999999996,8.719999999999999,17.119999999999997
-97.6458333333333,17.0208333333333,1998-06-01,126.7,0,126.7,269.6,13.5,150.9,0,27.39,9.799999999999995,18.595
-97.7291666666667,17.0625,1998-06-01,119.5,0,119.5,254.6,12.7,148,0,24.28,7.960000000000008,16.120000000000005
