longitude,latitude,date,var_name,val
-97.7291666666667,17.0208333333333,1958-02-01,pet,110.9
-97.7291666666667,17.0208333333333,1958-02-01,ppt,18.2
-97.7291666666667,17.0208333333333,1958-02-01,q,0.9
-97.7291666666667,17.0208333333333,1958-02-01,soil,123.6
-97.7291666666667,17.0208333333333,1958-02-01,swe,0
-97.7291666666667,17.0208333333333,1958-02-01,tmax,24.570000000000007
-97.7291666666667,17.0208333333333,1958-02-01,tmin,4.549999999999997
-97.7291666666667,17.0208333333333,1958-02-01,tmean,14.560000000000002
-97.6875,17.0208333333333,1958-02-01,aet,57.7
-97.6875,17.0208333333333,1958-02-01,def,50.400000000000006
-97.6875,17.0208333333333,1958-02-01,pet,108.1
-97.6875,17.0208333333333,1958-02-01,ppt,14.8
-97.6875,17.0208333333333,1958-02-01,q,0.7000000000000001
